status,product_area,response,justification,request_type
escalated,team-and-enterprise-plans,I cannot safely complete this request directly. I am escalating this ticket to a human support specialist for secure verification and handling.,Escalated due to high_risk_or_permission_sensitive; retrieval_confidence=0.50.,product_issue
escalated,screen,I cannot safely complete this request directly. I am escalating this ticket to a human support specialist for secure verification and handling.,Escalated due to high_risk_or_permission_sensitive; retrieval_confidence=0.52.,product_issue
escalated,fraud-protection,I cannot safely complete this request directly. I am escalating this ticket to a human support specialist for secure verification and handling.,Escalated due to high_risk_or_permission_sensitive; retrieval_confidence=0.52.,product_issue
replied,hackerrank_community,"Technical Screen Mock Interview Available roles Prerequisites Taking Technical Screen mock interview Ending an Interview Feedback report Viewing previous attempts The Technical Screen mock interview uses an AI-powered, voice-based interviewer to conduct fully autonomous interviews for technical and non-technical roles. You can take a Technical Screen mock interview for the following roles:

Source: https://help.hackerrank.com/articles/5671120169-technical-screen-mock-interview",Replied using corpus document 'hackerrank/hackerrank_community/mock-interviews/5671120169-technical-screen-mock-interview.md' with retrieval_confidence=0.50.,bug
replied,integrations,"- Include Tests in your ORC job application flow - you can choose if candidates take this Inline (while applying to the job) or at the end of the job application. Oracle Recruiting Cloud offers various assessment triggers that can be configured to send assessments to candidates. HackerRank has built the integration to support all these configurations that users can set up in ORC. - **CSP Manual Initiation:** An assessment tied to any phase and state can be manually triggered for a candidate without moving them to the trigger state.

Source: https://support.hackerrank.com/articles/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide",Replied using corpus document 'hackerrank/integrations/applicant-tracking-systems/oracle-recruiting-cloud/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide.md' with retrieval_confidence=0.49.,product_issue
replied,screen,"Here is a glossary of all the terms and definitions you need to know while using the HackerRank for Work platform. Click [here](https://support.hackerrank.com/articles/9603546665-types-of-user-roles#recruiter-14) to learn more.</p></td> <td data-colspan=""1"" data-rowspan=""1"" style=""width: 50%""><p>A license type is given to users who can create questions in the library and take technical interviews using HackerRank Interviews.<br />

Source: https://support.hackerrank.com/articles/3572240492-hackerrank-glossary",Replied using corpus document 'hackerrank/screen/getting-started/3572240492-hackerrank-glossary.md' with retrieval_confidence=0.52.,product_issue
replied,integrations,"- Include Tests in your ORC job application flow - you can choose if candidates take this Inline (while applying to the job) or at the end of the job application. Oracle Recruiting Cloud offers various assessment triggers that can be configured to send assessments to candidates. HackerRank has built the integration to support all these configurations that users can set up in ORC. - **CSP Manual Initiation:** An assessment tied to any phase and state can be manually triggered for a candidate without moving them to the trigger state.

Source: https://support.hackerrank.com/articles/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide",Replied using corpus document 'hackerrank/integrations/applicant-tracking-systems/oracle-recruiting-cloud/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide.md' with retrieval_confidence=0.51.,bug
replied,screen,"Here is a glossary of all the terms and definitions you need to know while using the HackerRank for Work platform. <td data-colspan=""1"" data-rowspan=""1"" style=""width: 50%""><p>There are job positions in any company for which candidates are hired. At HackerRank, it is a collection of different skills that match the skills required for a particular job opening.</p></td> <td data-colspan=""1"" data-rowspan=""1"" style=""width: 29.1429%; height: 22px""><p> Test</p></td>

Source: https://support.hackerrank.com/articles/3572240492-hackerrank-glossary",Replied using corpus document 'hackerrank/screen/getting-started/3572240492-hackerrank-glossary.md' with retrieval_confidence=0.56.,product_issue
replied,settings,"Summary of Bias Audit Results of the HackerRank's Plagiarism Detection System for New York City's Local Law 144 Re: **Audit Opinion on HackerRank’s Plagiarism Detection System** 2.  **Obtain reasonable assurance** as to whether the statements made by the Company, including the summary of bias testing results presented in this report, are free from material misstatement, whether due to fraud or error.

Source: https://support.hackerrank.com/articles/9355824728-summary-of-bias-audit-results-of-the-hackerrank%27s-plagiarism-detection-system-for-new-york-city%27s-local-law-144",Replied using corpus document 'hackerrank/settings/gdpr-and-nyc-ai-laws/9355824728-summary-of-bias-audit-results-of-the-hackerrank%27s-plagiarism-detection-system-for-new-york-city%27s-local-law-144.md' with retrieval_confidence=0.51.,bug
replied,settings,"Summary of Bias Audit Results of the HackerRank's Plagiarism Detection System for New York City's Local Law 144 To: **Interviewstreet Incorporation (HackerRank)**\ Re: **Audit Opinion on HackerRank’s Plagiarism Detection System**

Source: https://support.hackerrank.com/articles/9355824728-summary-of-bias-audit-results-of-the-hackerrank%27s-plagiarism-detection-system-for-new-york-city%27s-local-law-144",Replied using corpus document 'hackerrank/settings/gdpr-and-nyc-ai-laws/9355824728-summary-of-bias-audit-results-of-the-hackerrank%27s-plagiarism-detection-system-for-new-york-city%27s-local-law-144.md' with retrieval_confidence=0.52.,product_issue
replied,screen,"Click [here](https://support.hackerrank.com/articles/9603546665-types-of-user-roles#recruiter-14) to learn more.</p></td> <td data-colspan=""1"" data-rowspan=""1"" style=""width: 50%""><p>Interviewer </p></td> <td data-colspan=""1"" data-rowspan=""1"" style=""width: 50%""><p>A license type is given to users who can create questions in the library and take technical interviews using HackerRank Interviews.<br />

Source: https://support.hackerrank.com/articles/3572240492-hackerrank-glossary",Replied using corpus document 'hackerrank/screen/getting-started/3572240492-hackerrank-glossary.md' with retrieval_confidence=0.53.,product_issue
replied,claude-mobile-apps,"Claude can help you: - **Display locations on maps** and help you navigate to restaurants, stores, and other destinations. - **Create and manage reminders** to help you stay organized with tasks and lists.

Source: https://support.claude.com/en/articles/11869619-using-claude-with-ios-apps",Replied using corpus document 'claude/claude-mobile-apps/claude-for-ios/11869619-using-claude-with-ios-apps.md' with retrieval_confidence=0.49.,bug
replied,integrations,"This guide explains how to integrate Greenhouse with HackerRank for Work, allowing you to send tests, schedule interviews, and view results seamlessly. **Note:** You need this token in Step 2: Add the integration API token in Greenhouse and Step 6: Create a ticket in Greenhouse Support. This step authorizes Greenhouse to connect with your HackerRank account.

Source: https://support.hackerrank.com/articles/1406188460-greenhouse---hackerrank-integration-guide",Replied using corpus document 'hackerrank/integrations/applicant-tracking-systems/greenhouse/1406188460-greenhouse---hackerrank-integration-guide.md' with retrieval_confidence=0.50.,product_issue
replied,settings,"To use the **Pause Subscription** feature, ensure the following conditions are met: 1.  You must have an active subscription that started at least 30 days ago. 2.  You must have a **monthly subscription** for one of the following plans:

Source: https://support.hackerrank.com/articles/5157311476-pause-subscription",Replied using corpus document 'hackerrank/settings/user-account-settings-and-preferences/5157311476-pause-subscription.md' with retrieval_confidence=0.62.,product_issue
replied,claude,"Get started with Claude Cowork This article explains how to use **[Claude Cowork](https://claude.com/product/cowork)**, which brings Claude Code's agentic capabilities to Claude Desktop for knowledge work beyond coding. Claude Cowork is available for paid plans (Pro, Max, Team, Enterprise) on:

Source: https://support.claude.com/en/articles/13345190-get-started-with-claude-cowork",Replied using corpus document 'claude/claude/features-and-capabilities/13345190-get-started-with-claude-cowork.md' with retrieval_confidence=0.52.,bug
replied,support.md,"Need help? Give us a call For lost or stolen credit cards, please call us: If you receive a call or email asking for your information, do not provide it. You can report a phone scam that uses Visa’s name by [contacting us](/contact-us.html). Visa does not call or email cardholders and request personal information. Visit our [Lost or Stolen card](/support/consumer/lost-stolen-card.html) page – if the identity theft involves your Visa card – to learn how to cancel your card or get an emergency replacement card.

Source: https://www.visa.co.in/support.html",Replied using corpus document 'visa/support.md' with retrieval_confidence=0.61.,product_issue
replied,hackerrank_community,"Create a Resume with Resume Builder The HackerRank Resume Builder is a powerful tool that helps you create a professional resume in just a few steps. It allows you to showcase your skills, achievements, and certifications to stand out to potential employers. You can create a resume in one of the following ways:

Source: https://help.hackerrank.com/articles/9106957203-create-a-resume-with-resume-builder",Replied using corpus document 'hackerrank/hackerrank_community/additional-resources/job-search-and-applications/9106957203-create-a-resume-with-resume-builder.md' with retrieval_confidence=0.62.,bug
replied,hackerrank_community,"**Can I update the name on my certificate?** Yes. You can update the name on your certificate only once per account. When you update your name, the change applies to all your certificates. After you update it, you cannot change it again.

Source: https://help.hackerrank.com/articles/8941367927-certifications-faqs",Replied using corpus document 'hackerrank/hackerrank_community/certifications/8941367927-certifications-faqs.md' with retrieval_confidence=0.50.,product_issue
replied,support.md,"If you receive a call or email asking for your information, do not provide it. You can report a phone scam that uses Visa’s name by [contacting us](/contact-us.html). Visa does not call or email cardholders and request personal information. As a consumer, you should not encounter any issues with 3-D Secure. If you do, contact your issuer or bank for more information using the phone number on your card.

Source: https://www.visa.co.in/support.html",Replied using corpus document 'visa/support.md' with retrieval_confidence=0.58.,product_issue
escalated,safeguards,I cannot safely complete this request directly. I am escalating this ticket to a human support specialist for secure verification and handling.,Escalated due to high_risk_or_permission_sensitive; retrieval_confidence=0.52.,product_issue
replied,privacy-and-legal,"Does Anthropic crawl data from the web, and how can site owners block the crawler? As part of our mission to build safe and reliable frontier systems and advance the field of responsible AI development, we’re sharing the principles by which we collect data as well as instructions on how to opt out of our crawling going forward: - Our collection of data should be *transparent*. Anthropic uses the Bots described above to access web content.

Source: https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler",Replied using corpus document 'claude/privacy-and-legal/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md' with retrieval_confidence=0.61.,product_issue
replied,consumer,"Visa Travel Services | Visa Travel Credit Card Support With Visa, travelling the world is beautifully simple. One card. 200+ countries. 80m+ merchants worldwide. Convenient payments — online and in-store.

Source: https://www.visa.co.in/support/consumer/travel-support.html",Replied using corpus document 'visa/support/consumer/travel-support.md' with retrieval_confidence=0.55.,product_issue
replied,connectors,"Enable and use the Microsoft 365 connector This article explains how to connect Claude to Microsoft 365 using our pre-built MCP connector, allowing Claude to search, analyze, and access information across SharePoint, OneDrive, Outlook, and Teams. > The Microsoft 365 connector is available on all Claude plans: Free, Pro, Max, Team, and Enterprise.

Source: https://support.claude.com/en/articles/12542951-enable-and-use-the-microsoft-365-connector",Replied using corpus document 'claude/connectors/pre-built-connectors/12542951-enable-and-use-the-microsoft-365-connector.md' with retrieval_confidence=0.50.,product_issue
replied,claude-code,This request appears outside the supported HackerRank/Claude/Visa support scope.,Replied as out-of-scope invalid request; retrieval_confidence=0.50.,invalid
replied,consumer,"Visa Travel Services | Visa Travel Credit Card Support With Visa, travelling the world is beautifully simple. Look for the Visa Brand Mark. Keep your payments simple.

Source: https://www.visa.co.in/support/consumer/travel-support.html",Replied using corpus document 'visa/support/consumer/travel-support.md' with retrieval_confidence=0.50.,product_issue
